"maille_code";"sexe";"date";"hospitalises";"reanimation";"gueris";"deces"
"2B";"0";"2020-03-19";0;0;0;0
"30";"0";"2020-03-19";4;1;7;1
"31";"0";"2020-03-19";26;6;13;1
"32";"0";"2020-03-19";3;3;0;0
"33";"0";"2020-03-19";7;5;7;2
"34";"0";"2020-03-19";49;18;21;4
"35";"0";"2020-03-19";16;8;15;0
"36";"0";"2020-03-19";3;0;0;0
"37";"0";"2020-03-19";6;3;0;0
"38";"0";"2020-03-19";22;2;3;1
"39";"0";"2020-03-19";2;1;1;0
"40";"0";"2020-03-19";0;0;0;0
"41";"0";"2020-03-19";2;0;1;0
"42";"0";"2020-03-19";48;18;8;3
"43";"0";"2020-03-19";1;1;5;0
"44";"0";"2020-03-19";24;6;9;1
"45";"0";"2020-03-19";9;3;0;0
"46";"0";"2020-03-19";0;0;1;0
"47";"0";"2020-03-19";10;1;1;0
"48";"0";"2020-03-19";1;0;0;0
"49";"0";"2020-03-19";16;3;28;0
"50";"0";"2020-03-19";6;0;2;0
"51";"0";"2020-03-19";39;7;14;2
"52";"0";"2020-03-19";4;0;0;1
"53";"0";"2020-03-19";5;1;3;0
"54";"0";"2020-03-19";54;23;1;6
"55";"0";"2020-03-19";35;3;4;0
"56";"0";"2020-03-19";42;12;53;9
"57";"0";"2020-03-19";194;46;15;19
"58";"0";"2020-03-19";0;0;0;0
"59";"0";"2020-03-19";138;35;36;5
"60";"0";"2020-03-19";109;21;23;14
"61";"0";"2020-03-19";2;0;3;0
"62";"0";"2020-03-19";30;11;25;0
"63";"0";"2020-03-19";9;1;4;0
"64";"0";"2020-03-19";9;0;1;0
"65";"0";"2020-03-19";2;1;0;0
"66";"0";"2020-03-19";19;11;3;3
"67";"0";"2020-03-19";302;82;13;18
"68";"0";"2020-03-19";437;73;131;91
"69";"0";"2020-03-19";210;33;48;12
"70";"0";"2020-03-19";14;3;3;0
"71";"0";"2020-03-19";48;3;7;5
"72";"0";"2020-03-19";8;0;5;0
"73";"0";"2020-03-19";10;2;5;0
"74";"0";"2020-03-19";37;11;49;6
"75";"0";"2020-03-19";453;122;62;22
"76";"0";"2020-03-19";33;4;3;4
"77";"0";"2020-03-19";48;13;15;0
"78";"0";"2020-03-19";92;20;7;6
"79";"0";"2020-03-19";3;1;3;0
"80";"0";"2020-03-19";74;23;12;2
"81";"0";"2020-03-19";5;1;2;0
"82";"0";"2020-03-19";1;0;0;1
"83";"0";"2020-03-19";27;13;86;2
"84";"0";"2020-03-19";12;4;9;1
"85";"0";"2020-03-19";5;1;5;0
"86";"0";"2020-03-19";7;0;0;1
"87";"0";"2020-03-19";6;1;2;0
"88";"0";"2020-03-19";38;6;8;11
"89";"0";"2020-03-19";5;1;1;2
"90";"0";"2020-03-19";39;9;0;3
"91";"0";"2020-03-19";82;22;4;1
"92";"0";"2020-03-19";206;54;31;7
"93";"0";"2020-03-19";143;45;21;5
"94";"0";"2020-03-19";182;47;41;10
"95";"0";"2020-03-19";150;37;32;5
"971";"0";"2020-03-19";0;0;0;0
"972";"0";"2020-03-19";17;5;0;1
"973";"0";"2020-03-19";0;0;0;0
"974";"0";"2020-03-19";2;2;0;0
"976";"0";"2020-03-19";0;0;0;0
"01";"0";"2020-03-20";2;0;1;0
"02";"0";"2020-03-20";52;19;40;24
"03";"0";"2020-03-20";1;0;10;0
"04";"0";"2020-03-20";3;1;3;0
"05";"0";"2020-03-20";13;1;10;0
"06";"0";"2020-03-20";43;7;61;4
"07";"0";"2020-03-20";15;3;3;1
"08";"0";"2020-03-20";1;1;1;0
"09";"0";"2020-03-20";2;1;2;0
"10";"0";"2020-03-20";12;2;0;0
"11";"0";"2020-03-20";26;11;13;8
"12";"0";"2020-03-20";12;2;3;1
"13";"0";"2020-03-20";174;26;108;4
"14";"0";"2020-03-20";4;1;3;1
"15";"0";"2020-03-20";4;1;0;0
"16";"0";"2020-03-20";1;0;2;0
"17";"0";"2020-03-20";9;3;2;0
"18";"0";"2020-03-20";0;0;0;0
"19";"0";"2020-03-20";1;0;0;0
"21";"0";"2020-03-20";82;31;37;3
"22";"0";"2020-03-20";5;0;3;1
"23";"0";"2020-03-20";0;0;0;0
"24";"0";"2020-03-20";3;3;2;0
"25";"0";"2020-03-20";43;15;13;4
"26";"0";"2020-03-20";38;9;2;2
"27";"0";"2020-03-20";4;1;0;1
"28";"0";"2020-03-20";12;2;0;1
"29";"0";"2020-03-20";20;4;6;1
"2A";"0";"2020-03-20";60;14;10;3
"2B";"0";"2020-03-20";6;0;23;0
"30";"0";"2020-03-20";8;1;7;1
"31";"0";"2020-03-20";35;10;16;2
"32";"0";"2020-03-20";3;3;0;0
"33";"0";"2020-03-20";10;5;12;2
"34";"0";"2020-03-20";61;21;24;4
"35";"0";"2020-03-20";20;9;17;1
"36";"0";"2020-03-20";4;1;0;0
"37";"0";"2020-03-20";12;5;0;1
"38";"0";"2020-03-20";27;2;10;1
"39";"0";"2020-03-20";6;1;2;0
"40";"0";"2020-03-20";0;0;0;0
"41";"0";"2020-03-20";4;0;0;0
"42";"0";"2020-03-20";63;17;9;4
"43";"0";"2020-03-20";2;2;6;0
"44";"0";"2020-03-20";30;10;11;1
"45";"0";"2020-03-20";26;5;2;0
"46";"0";"2020-03-20";0;0;2;0
"47";"0";"2020-03-20";10;1;1;0
"48";"0";"2020-03-20";1;0;0;0
"49";"0";"2020-03-20";22;4;38;0
"50";"0";"2020-03-20";12;4;2;0
"51";"0";"2020-03-20";54;11;26;2
"52";"0";"2020-03-20";8;0;5;4
"53";"0";"2020-03-20";7;2;3;0
"54";"0";"2020-03-20";65;26;2;7
"55";"0";"2020-03-20";46;5;6;0
"56";"0";"2020-03-20";49;12;29;9
"57";"0";"2020-03-20";257;61;24;23
"58";"0";"2020-03-20";1;1;0;0
"59";"0";"2020-03-20";112;39;35;5
"60";"0";"2020-03-20";123;28;30;18
"61";"0";"2020-03-20";3;1;4;0
"62";"0";"2020-03-20";50;20;35;1
"63";"0";"2020-03-20";4;1;9;0
"64";"0";"2020-03-20";8;0;2;1
"65";"0";"2020-03-20";2;1;0;0
"66";"0";"2020-03-20";26;15;3;4
"67";"0";"2020-03-20";366;92;42;28
"68";"0";"2020-03-20";509;91;170;105
"69";"0";"2020-03-20";236;41;68;19
"70";"0";"2020-03-20";26;6;5;0
"71";"0";"2020-03-20";53;5;10;8
"72";"0";"2020-03-20";8;0;5;0
"73";"0";"2020-03-20";17;2;8;0
"74";"0";"2020-03-20";54;9;53;6
"75";"0";"2020-03-20";575;145;98;30
"76";"0";"2020-03-20";48;6;5;5
"77";"0";"2020-03-20";79;31;21;2
"78";"0";"2020-03-20";136;33;16;12
"79";"0";"2020-03-20";5;1;8;0
"80";"0";"2020-03-20";95;30;16;3
"81";"0";"2020-03-20";6;1;3;0
"82";"0";"2020-03-20";1;0;0;1
"83";"0";"2020-03-20";35;17;88;2
"84";"0";"2020-03-20";13;3;10;1
"85";"0";"2020-03-20";6;1;5;0
"86";"0";"2020-03-20";11;0;0;1
"87";"0";"2020-03-20";7;2;2;0
"88";"0";"2020-03-20";46;5;8;14
"89";"0";"2020-03-20";10;3;1;2
"90";"0";"2020-03-20";49;9;0;5
"91";"0";"2020-03-20";122;28;7;3
"92";"0";"2020-03-20";254;74;50;11
"93";"0";"2020-03-20";201;62;35;19
"94";"0";"2020-03-20";226;60;67;12
"95";"0";"2020-03-20";192;51;56;10
"971";"0";"2020-03-20";0;0;0;0
"972";"0";"2020-03-20";19;5;0;1
"973";"0";"2020-03-20";0;0;0;0
"974";"0";"2020-03-20";2;2;0;0
"976";"0";"2020-03-20";0;0;0;0
"01";"0";"2020-03-21";4;0;1;0
"02";"0";"2020-03-21";61;20;49;25
"03";"0";"2020-03-21";5;0;10;0
"04";"0";"2020-03-21";4;1;3;0
"05";"0";"2020-03-21";13;1;10;0
"06";"0";"2020-03-21";46;7;61;6
"07";"0";"2020-03-21";15;3;3;1
"08";"0";"2020-03-21";3;1;1;0
"09";"0";"2020-03-21";2;1;3;0
"10";"0";"2020-03-21";12;2;0;0
"11";"0";"2020-03-21";26;9;13;9
"12";"0";"2020-03-21";11;2;4;1
"13";"0";"2020-03-21";203;33;128;4
"14";"0";"2020-03-21";6;3;3;1
"15";"0";"2020-03-21";5;1;0;0
"16";"0";"2020-03-21";3;1;2;0
"17";"0";"2020-03-21";11;4;2;0
"18";"0";"2020-03-21";0;0;0;0
"19";"0";"2020-03-21";1;0;0;0
"21";"0";"2020-03-21";79;30;45;3
"22";"0";"2020-03-21";7;1;3;1
"23";"0";"2020-03-21";1;0;0;0
"24";"0";"2020-03-21";4;3;2;0
"25";"0";"2020-03-21";48;21;19;6
"26";"0";"2020-03-21";43;9;2;2
"27";"0";"2020-03-21";7;3;0;0
"28";"0";"2020-03-21";13;2;1;1
"29";"0";"2020-03-21";20;2;6;1
"2A";"0";"2020-03-21";62;14;12;4
"2B";"0";"2020-03-21";6;0;23;0
"30";"0";"2020-03-21";7;1;11;1
"31";"0";"2020-03-21";51;14;17;2
"32";"0";"2020-03-21";4;3;0;0
"33";"0";"2020-03-21";39;15;12;2
"34";"0";"2020-03-21";65;22;33;4
"35";"0";"2020-03-21";20;10;18;1
"36";"0";"2020-03-21";5;2;0;0
"37";"0";"2020-03-21";12;4;1;1
"38";"0";"2020-03-21";30;2;13;1
"39";"0";"2020-03-21";7;1;2;0
"40";"0";"2020-03-21";0;0;0;0
"41";"0";"2020-03-21";4;0;0;0
"42";"0";"2020-03-21";71;18;12;6
"43";"0";"2020-03-21";4;2;6;0
"44";"0";"2020-03-21";38;11;12;1
"45";"0";"2020-03-21";30;6;3;0
"46";"0";"2020-03-21";1;0;5;0
"47";"0";"2020-03-21";13;1;1;0
"48";"0";"2020-03-21";1;0;0;0
"49";"0";"2020-03-21";22;6;35;2
"50";"0";"2020-03-21";15;4;2;0
"51";"0";"2020-03-21";67;16;27;2
"52";"0";"2020-03-21";9;0;5;4
"53";"0";"2020-03-21";7;2;3;0
"54";"0";"2020-03-21";76;35;2;9
"55";"0";"2020-03-21";60;6;7;1
"56";"0";"2020-03-21";62;11;28;12
"57";"0";"2020-03-21";286;64;34;25
"58";"0";"2020-03-21";1;1;0;0
"59";"0";"2020-03-21";79;43;17;5
"60";"0";"2020-03-21";138;28;43;18
"61";"0";"2020-03-21";4;1;3;0
"62";"0";"2020-03-21";44;18;27;1
"63";"0";"2020-03-21";4;1;10;0
"64";"0";"2020-03-21";10;1;2;1
"65";"0";"2020-03-21";5;1;0;0
"66";"0";"2020-03-21";25;15;3;5
"67";"0";"2020-03-21";420;108;51;31
"68";"0";"2020-03-21";517;94;196;121
"69";"0";"2020-03-21";272;41;71;21
"70";"0";"2020-03-21";26;6;5;0
"71";"0";"2020-03-21";50;6;14;10
"72";"0";"2020-03-21";9;0;5;0
"73";"0";"2020-03-21";18;2;8;0
"74";"0";"2020-03-21";54;9;56;7
"75";"0";"2020-03-21";649;165;122;36
"76";"0";"2020-03-21";60;10;6;5
"77";"0";"2020-03-21";89;36;21;3
"78";"0";"2020-03-21";174;39;30;14
"79";"0";"2020-03-21";5;1;8;0
"80";"0";"2020-03-21";102;35;21;7
"81";"0";"2020-03-21";8;1;3;1
"82";"0";"2020-03-21";3;1;0;1
"83";"0";"2020-03-21";40;19;98;2
"84";"0";"2020-03-21";20;5;10;1
"85";"0";"2020-03-21";4;2;7;0
"86";"0";"2020-03-21";12;0;1;1
"87";"0";"2020-03-21";8;2;2;1
"88";"0";"2020-03-21";55;6;8;16
"89";"0";"2020-03-21";11;3;1;2
"90";"0";"2020-03-21";61;11;2;6
"91";"0";"2020-03-21";151;35;8;5
"92";"0";"2020-03-21";298;81;71;17
"93";"0";"2020-03-21";220;66;37;20
"94";"0";"2020-03-21";268;67;79;13
"95";"0";"2020-03-21";238;56;70;14
"971";"0";"2020-03-21";0;0;0;0
"972";"0";"2020-03-21";19;5;0;1
"973";"0";"2020-03-21";0;0;0;0
"974";"0";"2020-03-21";2;2;0;0
"976";"0";"2020-03-21";0;0;0;0
"01";"0";"2020-03-22";8;1;2;0
"02";"0";"2020-03-22";69;21;55;28
"03";"0";"2020-03-22";5;0;10;0
"04";"0";"2020-03-22";4;1;3;0
"05";"0";"2020-03-22";14;1;11;0
"06";"0";"2020-03-22";45;8;63;7
"07";"0";"2020-03-22";22;3;3;1
"08";"0";"2020-03-22";4;1;1;0
"09";"0";"2020-03-22";2;1;3;0
"10";"0";"2020-03-22";21;4;0;0
"11";"0";"2020-03-22";27;9;13;9
"12";"0";"2020-03-22";13;2;4;1
"13";"0";"2020-03-22";247;41;133;4
"14";"0";"2020-03-22";11;4;3;1
"15";"0";"2020-03-22";5;1;0;0
"16";"0";"2020-03-22";5;3;2;1
"17";"0";"2020-03-22";12;4;5;0
"18";"0";"2020-03-22";0;0;0;0
"19";"0";"2020-03-22";4;0;0;1
"21";"0";"2020-03-22";101;31;73;4
"22";"0";"2020-03-22";7;1;3;1
"23";"0";"2020-03-22";1;0;0;0
"24";"0";"2020-03-22";6;3;2;0
"25";"0";"2020-03-22";63;21;20;8
"26";"0";"2020-03-22";46;11;3;4
"27";"0";"2020-03-22";12;4;0;0
"28";"0";"2020-03-22";15;2;2;1
"29";"0";"2020-03-22";19;2;9;2
"2A";"0";"2020-03-22";58;13;13;6
"2B";"0";"2020-03-22";6;0;23;0
"30";"0";"2020-03-22";13;1;10;2
"31";"0";"2020-03-22";55;16;23;2
"32";"0";"2020-03-22";4;3;0;0
"33";"0";"2020-03-22";54;23;13;2
"34";"0";"2020-03-22";66;22;38;4
"35";"0";"2020-03-22";27;13;18;1
"36";"0";"2020-03-22";5;2;0;0
"37";"0";"2020-03-22";13;5;1;1
"38";"0";"2020-03-22";36;2;14;1
"39";"0";"2020-03-22";8;1;2;0
"40";"0";"2020-03-22";0;0;0;0
"41";"0";"2020-03-22";4;0;0;0
"42";"0";"2020-03-22";98;23;16;8
"43";"0";"2020-03-22";5;2;7;0
"44";"0";"2020-03-22";50;12;14;2
"45";"0";"2020-03-22";37;12;7;1
"46";"0";"2020-03-22";1;0;5;0
"47";"0";"2020-03-22";15;2;1;0
"48";"0";"2020-03-22";2;0;1;0
"49";"0";"2020-03-22";22;6;40;2
"50";"0";"2020-03-22";19;5;3;0
"51";"0";"2020-03-22";92;19;27;3
"52";"0";"2020-03-22";13;2;5;4
"53";"0";"2020-03-22";9;2;3;0
"54";"0";"2020-03-22";105;57;12;16
"55";"0";"2020-03-22";60;6;7;1
"56";"0";"2020-03-22";77;15;29;13
"57";"0";"2020-03-22";332;72;51;32
"58";"0";"2020-03-22";1;1;0;0
"59";"0";"2020-03-22";96;43;20;11
"60";"0";"2020-03-22";147;28;47;19
"61";"0";"2020-03-22";4;1;3;0
"62";"0";"2020-03-22";49;20;30;1
"63";"0";"2020-03-22";4;2;11;0
"64";"0";"2020-03-22";15;1;2;1
"65";"0";"2020-03-22";6;1;1;0
"66";"0";"2020-03-22";60;20;4;5
"67";"0";"2020-03-22";463;110;51;38
"68";"0";"2020-03-22";538;90;221;136
"69";"0";"2020-03-22";326;48;80;26
"70";"0";"2020-03-22";26;6;5;0
"71";"0";"2020-03-22";65;6;36;12
"72";"0";"2020-03-22";11;0;6;0
"73";"0";"2020-03-22";22;2;8;0
"74";"0";"2020-03-22";64;11;58;7
"75";"0";"2020-03-22";728;195;145;40
"76";"0";"2020-03-22";72;11;6;7
"77";"0";"2020-03-22";127;41;23;3
"78";"0";"2020-03-22";206;43;34;14
"79";"0";"2020-03-22";8;1;11;1
"80";"0";"2020-03-22";124;39;21;8
"81";"0";"2020-03-22";10;2;4;1
"82";"0";"2020-03-22";3;1;0;1
"83";"0";"2020-03-22";56;22;106;2
"84";"0";"2020-03-22";22;5;11;1
"85";"0";"2020-03-22";7;5;8;0
"86";"0";"2020-03-22";13;1;1;1
"87";"0";"2020-03-22";13;2;2;1
"88";"0";"2020-03-22";62;9;16;22
"89";"0";"2020-03-22";13;3;1;2
"90";"0";"2020-03-22";68;14;28;14
"91";"0";"2020-03-22";196;47;12;4
"92";"0";"2020-03-22";378;95;87;21
"93";"0";"2020-03-22";263;75;41;23
"94";"0";"2020-03-22";306;78;90;17
"95";"0";"2020-03-22";281;66;81;18
"971";"0";"2020-03-22";6;6;0;0
"972";"0";"2020-03-22";19;5;0;1
"973";"0";"2020-03-22";0;0;0;0
"974";"0";"2020-03-22";2;2;0;0
"976";"0";"2020-03-22";0;0;0;0
"01";"0";"2020-03-23";17;3;7;0
"02";"0";"2020-03-23";91;23;62;30
"03";"0";"2020-03-23";9;0;16;1
"04";"0";"2020-03-23";4;1;3;0
"05";"0";"2020-03-23";19;3;13;0
"06";"0";"2020-03-23";66;13;63;8
"07";"0";"2020-03-23";29;3;3;2
"08";"0";"2020-03-23";6;3;1;0
"09";"0";"2020-03-23";3;3;3;0
"10";"0";"2020-03-23";33;4;0;2
"11";"0";"2020-03-23";36;13;13;10
"12";"0";"2020-03-23";14;2;4;1
"13";"0";"2020-03-23";311;64;168;4
"14";"0";"2020-03-23";26;6;5;1
"15";"0";"2020-03-23";5;2;0;0
"16";"0";"2020-03-23";6;4;2;1
"17";"0";"2020-03-23";13;6;6;0
"18";"0";"2020-03-23";0;0;0;0
"19";"0";"2020-03-23";6;1;0;2
"21";"0";"2020-03-23";113;34;84;13
"22";"0";"2020-03-23";9;1;3;1
"23";"0";"2020-03-23";2;0;0;0
"24";"0";"2020-03-23";20;3;11;0
"25";"0";"2020-03-23";65;22;25;10
"26";"0";"2020-03-23";58;16;5;7
"27";"0";"2020-03-23";15;4;0;0
"28";"0";"2020-03-23";34;10;2;2
"29";"0";"2020-03-23";22;1;9;4
"2A";"0";"2020-03-23";59;9;14;7
"2B";"0";"2020-03-23";6;0;31;0
"30";"0";"2020-03-23";15;5;11;2
"31";"0";"2020-03-23";71;19;26;2
"32";"0";"2020-03-23";5;3;0;0
"33";"0";"2020-03-23";68;24;19;3
"34";"0";"2020-03-23";82;29;42;9
"35";"0";"2020-03-23";34;14;20;1
"36";"0";"2020-03-23";16;5;0;2
"37";"0";"2020-03-23";18;6;1;2
"38";"0";"2020-03-23";51;7;19;3
"39";"0";"2020-03-23";10;1;2;0
"40";"0";"2020-03-23";4;0;0;0
"41";"0";"2020-03-23";6;1;1;0
"42";"0";"2020-03-23";123;25;20;10
"43";"0";"2020-03-23";7;3;7;0
"44";"0";"2020-03-23";57;15;14;3
"45";"0";"2020-03-23";43;16;11;2
"46";"0";"2020-03-23";2;0;4;0
"47";"0";"2020-03-23";18;4;1;1
"48";"0";"2020-03-23";4;0;1;0
"49";"0";"2020-03-23";46;10;43;4
"50";"0";"2020-03-23";20;7;4;0
"51";"0";"2020-03-23";117;28;39;8
"52";"0";"2020-03-23";13;3;6;4
"53";"0";"2020-03-23";14;2;3;1
"54";"0";"2020-03-23";121;55;16;19
"55";"0";"2020-03-23";86;7;16;2
"56";"0";"2020-03-23";67;14;36;17
"57";"0";"2020-03-23";391;83;58;53
"58";"0";"2020-03-23";3;2;0;0
"59";"0";"2020-03-23";145;68;30;15
"60";"0";"2020-03-23";174;31;54;29
"61";"0";"2020-03-23";6;2;7;0
"62";"0";"2020-03-23";65;28;33;3
"63";"0";"2020-03-23";7;3;11;0
"64";"0";"2020-03-23";19;1;5;1
"65";"0";"2020-03-23";7;1;2;0
"66";"0";"2020-03-23";83;22;6;6
"67";"0";"2020-03-23";545;139;77;50
"68";"0";"2020-03-23";634;100;233;157
"69";"0";"2020-03-23";429;71;90;34
"70";"0";"2020-03-23";26;6;5;0
"71";"0";"2020-03-23";84;7;50;13
"72";"0";"2020-03-23";20;2;6;1
"73";"0";"2020-03-23";26;4;13;1
"74";"0";"2020-03-23";92;20;63;12
"75";"0";"2020-03-23";925;223;198;59
"76";"0";"2020-03-23";81;14;8;8
"77";"0";"2020-03-23";161;54;40;3
"78";"0";"2020-03-23";226;49;41;17
"79";"0";"2020-03-23";8;1;12;1
"80";"0";"2020-03-23";137;37;22;9
"81";"0";"2020-03-23";7;3;4;1
"82";"0";"2020-03-23";2;1;1;1
"83";"0";"2020-03-23";56;23;114;5
"84";"0";"2020-03-23";25;8;16;3
"85";"0";"2020-03-23";10;6;8;0
"86";"0";"2020-03-23";15;1;1;3
"87";"0";"2020-03-23";17;2;2;1
"88";"0";"2020-03-23";65;10;24;32
"89";"0";"2020-03-23";16;7;1;2
"90";"0";"2020-03-23";94;20;31;24
"91";"0";"2020-03-23";253;66;18;4
"92";"0";"2020-03-23";496;126;112;28
"93";"0";"2020-03-23";333;85;55;28
"94";"0";"2020-03-23";384;103;108;24
"95";"0";"2020-03-23";364;81;93;30
"971";"0";"2020-03-23";6;6;0;0
"972";"0";"2020-03-23";19;5;0;1
"973";"0";"2020-03-23";0;0;0;0
"974";"0";"2020-03-23";2;2;0;0
"976";"0";"2020-03-23";0;0;0;0
"01";"0";"2020-03-24";22;3;11;0
"02";"0";"2020-03-24";107;27;85;33
"03";"0";"2020-03-24";9;0;16;1
"04";"0";"2020-03-24";4;1;3;0
"05";"0";"2020-03-24";19;4;16;1
"06";"0";"2020-03-24";55;12;86;8
"07";"0";"2020-03-24";37;4;1;3
"08";"0";"2020-03-24";5;3;2;0
"09";"0";"2020-03-24";3;3;3;0
"10";"0";"2020-03-24";36;4;0;2
"11";"0";"2020-03-24";33;11;13;12
"12";"0";"2020-03-24";19;3;5;1
"13";"0";"2020-03-24";369;82;197;7
"14";"0";"2020-03-24";29;10;7;1
"15";"0";"2020-03-24";7;3;0;0
"16";"0";"2020-03-24";13;4;2;2
"17";"0";"2020-03-24";26;6;6;0
"18";"0";"2020-03-24";2;2;1;0
"19";"0";"2020-03-24";12;3;0;3
"21";"0";"2020-03-24";114;34;106;22
"22";"0";"2020-03-24";11;2;3;1
"23";"0";"2020-03-24";2;0;0;0
"24";"0";"2020-03-24";24;4;15;0
"25";"0";"2020-03-24";80;26;30;11
"26";"0";"2020-03-24";67;21;10;9
"27";"0";"2020-03-24";15;4;0;0
